City_ID,City,Lat,Lng,Max Temp,Humidity,Pressure,Cloudiness,Wind Speed,Country,Date
0,tranovaho,,,,,,,,,
1,bethel,41.3712,-73.414,80.96,79.0,1019.0,38.0,1.99,US,1720914814.0
2,st. john's,47.5649,-52.7093,72.79,84.0,1012.0,75.0,17.27,CA,1720915098.0
3,avarua,-21.2078,-159.775,78.85,78.0,1014.0,75.0,11.5,CK,1720915099.0
4,albany,42.6001,-73.9662,81.43,69.0,1019.0,57.0,1.99,US,1720914835.0
5,haiku-pauwela,20.9219,-156.3051,86.02,55.0,1018.0,20.0,26.46,US,1720915102.0
6,silvia,2.611,-76.3785,50.49,89.0,1019.0,52.0,7.65,CO,1720915103.0
7,port-aux-francais,-49.35,70.2167,35.15,64.0,1015.0,72.0,28.07,TF,1720915104.0
8,adamstown,-25.066,-130.1015,65.57,64.0,1016.0,100.0,3.98,PN,1720915106.0
9,kismayo,-0.3582,42.5454,76.42,81.0,1015.0,9.0,16.04,SO,1720915107.0
10,thompson,55.7435,-97.8558,68.16,52.0,1009.0,75.0,6.91,CA,1720915108.0
11,okhotsk,59.3833,143.3,58.62,80.0,1011.0,72.0,9.89,RU,1720915109.0
12,waitangi,-43.9535,-176.5597,49.82,92.0,1033.0,79.0,3.0,NZ,1720915110.0
13,pale,43.8161,18.5694,67.75,68.0,1014.0,0.0,3.44,BA,1720915111.0
14,colonia,50.9333,6.95,58.12,88.0,1014.0,13.0,3.13,DE,1720915113.0
15,riyadh,24.6877,46.7219,93.34,15.0,1000.0,98.0,9.01,SA,1720915018.0
16,isafjordur,66.0755,-23.124,50.14,90.0,1008.0,100.0,12.06,IS,1720915115.0
17,wailua homesteads,22.0669,-159.378,83.19,67.0,1019.0,20.0,18.41,US,1720915116.0
18,port elizabeth,-33.918,25.5701,56.32,95.0,1017.0,28.0,5.01,ZA,1720915117.0
19,blackmans bay,-43.0167,147.3167,46.72,90.0,1012.0,100.0,4.0,AU,1720915119.0
20,orlov,58.5395,48.8917,50.4,72.0,1016.0,92.0,2.39,RU,1720915120.0
21,luderitz,-26.6481,15.1594,54.3,87.0,1025.0,7.0,3.38,NA,1720915121.0
22,chandbali,20.7833,86.7667,84.11,78.0,996.0,100.0,2.35,IN,1720915122.0
23,slatina,44.4333,24.3667,77.45,40.0,1012.0,5.0,8.03,RO,1720915123.0
24,tiksi,71.6872,128.8694,38.41,82.0,1021.0,70.0,10.69,RU,1720915124.0
25,port lincoln,-34.7333,135.8667,54.97,71.0,1021.0,10.0,7.43,AU,1720915126.0
26,cadale,2.7603,46.3222,76.68,85.0,1013.0,11.0,19.84,SO,1720915127.0
27,navapolatsk,55.5363,28.6424,66.38,98.0,1011.0,14.0,5.26,BY,1720915128.0
28,tongliao,43.6125,122.2653,81.72,61.0,1009.0,10.0,4.23,CN,1720915129.0
29,hayma',,,,,,,,,
30,fada,7.25,4.0667,71.28,99.0,1015.0,100.0,2.13,NG,1720915132.0
31,edinburgh of the seven seas,-37.0676,-12.3116,51.1,74.0,1007.0,62.0,45.75,SH,1720915133.0
32,atafu village,-8.5421,-172.5159,83.43,77.0,1011.0,53.0,16.02,TK,1720915134.0
33,altai,46.3722,96.2583,59.67,30.0,1009.0,95.0,2.24,MN,1720915136.0
34,olonkinbyen,70.9221,-8.7187,38.14,95.0,1009.0,87.0,14.97,SJ,1720915137.0
35,puerto natales,-51.7236,-72.4875,33.78,92.0,1018.0,40.0,3.94,CL,1720914954.0
36,college,64.8569,-147.8028,71.92,42.0,998.0,75.0,12.66,US,1720915139.0
37,acapulco de juarez,16.8634,-99.8901,81.59,67.0,1011.0,49.0,3.58,MX,1720915140.0
38,invercargill,-46.4,168.35,40.01,90.0,1028.0,1.0,4.0,NZ,1720915141.0
39,dompu,-8.5356,118.4622,73.49,82.0,1013.0,40.0,4.16,ID,1720915143.0
40,mirnyy,62.5353,113.9611,73.06,57.0,1007.0,1.0,9.44,RU,1720915144.0
41,rudbar,30.15,62.6,86.05,28.0,997.0,2.0,16.13,AF,1720915145.0
42,muzayri',,,,,,,,,
43,howard springs,-12.497,131.047,79.88,83.0,1015.0,94.0,5.93,AU,1720915147.0
44,nemuro,43.3236,145.575,56.68,94.0,1016.0,88.0,3.38,JP,1720915148.0
45,torghay,49.6339,63.4981,68.38,57.0,998.0,92.0,2.62,KZ,1720915150.0
46,longyearbyen,78.2186,15.6401,40.84,93.0,1001.0,75.0,8.05,SJ,1720915151.0
47,bredasdorp,-34.5322,20.0403,44.91,88.0,1017.0,70.0,7.9,ZA,1720915152.0
48,ancud,-41.8697,-73.8203,45.3,91.0,1023.0,49.0,4.14,CL,1720915153.0
49,las vegas,36.175,-115.1372,107.04,16.0,1008.0,75.0,14.97,US,1720914551.0
50,fergus falls,46.283,-96.0776,83.52,84.0,1008.0,20.0,9.22,US,1720915096.0
51,cassilandia,-19.1133,-51.7342,69.98,49.0,1019.0,55.0,3.96,BR,1720915095.0
52,san patricio,28.017,-97.5169,90.32,65.0,1019.0,78.0,11.43,US,1720915158.0
53,carnarvon,-24.8667,113.6333,65.01,68.0,1017.0,1.0,10.47,AU,1720915159.0
54,taiohae,,,,,,,,,
55,vanimo,-2.6741,141.3028,79.5,88.0,1010.0,85.0,2.98,PG,1720915161.0
56,jayapura,-2.5333,140.7,78.19,72.0,1009.0,88.0,2.86,ID,1720915163.0
57,margaret river,-33.95,115.0667,52.43,70.0,1018.0,100.0,10.49,AU,1720915164.0
58,fort st. john,56.2499,-120.8529,64.29,72.0,1012.0,75.0,9.22,CA,1720915165.0
59,puerto san carlos,,,,,,,,,
60,ahau,,,,,,,,,
61,sinabang,2.4803,96.3801,78.93,81.0,1010.0,100.0,0.72,ID,1720915169.0
62,constantia,44.1833,28.65,74.08,60.0,1012.0,5.0,5.64,RO,1720915170.0
63,labuan,5.2767,115.2417,77.36,100.0,1008.0,20.0,0.0,MY,1720915171.0
64,santa elena de uairen,4.6167,-61.1333,67.41,94.0,1016.0,72.0,0.67,VE,1720915172.0
65,letlhakane,-21.4167,25.5833,56.64,21.0,1019.0,11.0,2.21,BW,1720915173.0
66,san luis de la loma,17.2706,-100.8939,85.15,68.0,1012.0,90.0,3.71,MX,1720915175.0
67,keflavik,64.0049,-22.5624,53.87,100.0,1011.0,100.0,24.16,IS,1720915176.0
68,yellowknife,62.456,-114.3525,70.41,46.0,1013.0,20.0,10.36,CA,1720915177.0
69,taulaga,-11.0553,-171.0883,82.04,76.0,1011.0,83.0,13.22,AS,1720915178.0
70,guaduas,5.0669,-74.595,71.2,73.0,1011.0,66.0,4.14,CO,1720915179.0
71,kamina,-8.7386,24.9906,60.75,37.0,1016.0,0.0,2.84,CD,1720915180.0
72,port alfred,-33.5906,26.891,60.64,80.0,1015.0,54.0,11.63,ZA,1720915182.0
73,pingyi,35.5006,117.6308,76.35,74.0,1008.0,33.0,3.87,CN,1720915183.0
74,sambava,-14.2667,50.1667,69.75,88.0,1020.0,61.0,12.12,MG,1720915184.0
75,grytviken,-54.2811,-36.5092,27.1,83.0,986.0,49.0,14.97,GS,1720915150.0
76,porto novo,6.4965,2.6036,78.62,91.0,1014.0,89.0,7.25,BJ,1720915186.0
77,ribeira grande,38.5167,-28.7,65.77,79.0,1016.0,20.0,5.01,PT,1720915187.0
78,'ohonua,,,,,,,,,
79,sarkand,45.41,79.9186,71.24,46.0,1004.0,89.0,4.94,KZ,1720915190.0
80,gustavia,17.8962,-62.8498,85.15,84.0,1018.0,99.0,8.99,BL,1720915191.0
81,bratske,47.865,31.5731,72.18,27.0,1014.0,83.0,3.38,UA,1720915192.0
82,puerto ayora,-0.7393,-90.3518,70.18,88.0,1012.0,90.0,9.31,EC,1720915193.0
83,las palmas,28.4204,-14.0131,66.99,83.0,1014.0,20.0,14.97,ES,1720915195.0
84,kirakira,-10.4544,161.9205,84.43,73.0,1010.0,42.0,4.88,SB,1720915196.0
85,kyzyl-mazhalyk,51.1333,90.6,66.45,52.0,1007.0,39.0,1.59,RU,1720915197.0
86,tetyushi,54.9382,48.8366,57.4,68.0,1014.0,51.0,7.45,RU,1720915198.0
87,qurayyat,31.3318,37.3428,77.18,38.0,1005.0,0.0,9.22,SA,1720915199.0
88,el tigre,8.8875,-64.2454,79.02,76.0,1014.0,96.0,7.56,VE,1720915201.0
89,talnakh,69.4865,88.3972,62.53,84.0,1009.0,98.0,2.21,RU,1720915202.0
90,bilibino,68.0546,166.4372,56.61,69.0,1006.0,100.0,1.34,RU,1720915204.0
91,luau,-10.7073,22.2247,59.34,37.0,1017.0,0.0,4.72,AO,1720915205.0
92,swift current,50.2834,-107.8014,72.41,49.0,1012.0,20.0,0.0,CA,1720915206.0
93,codrington,-38.2667,141.9667,50.68,78.0,1018.0,65.0,6.38,AU,1720915208.0
94,ushuaia,-54.8,-68.3,40.66,81.0,1011.0,40.0,20.71,AR,1720915209.0
95,paulo ramos,-4.2167,-45.1833,79.39,61.0,1013.0,67.0,4.16,BR,1720915211.0
96,aasiaat,68.7098,-52.8699,38.07,91.0,1001.0,100.0,14.79,GL,1720915213.0
97,hermanus,-34.4187,19.2345,49.8,83.0,1017.0,35.0,10.98,ZA,1720915214.0
98,petropavlovsk-kamchatsky,53.0452,158.6483,59.59,67.0,1013.0,75.0,4.47,RU,1720915215.0
99,iskateley,67.6803,53.1512,54.77,92.0,1014.0,98.0,5.79,RU,1720915217.0
100,saint-francois,46.4154,3.9054,52.65,94.0,1015.0,0.0,0.0,FR,1720915219.0
101,alofi,-19.0595,-169.9187,78.69,69.0,1014.0,75.0,12.66,NU,1720915220.0
102,kristinestad,62.2743,21.376,58.1,87.0,1012.0,96.0,8.52,FI,1720915221.0
103,west island,-12.1568,96.8225,80.58,74.0,1012.0,79.0,19.57,CC,1720915222.0
104,khash,28.2211,61.2158,79.93,28.0,1001.0,0.0,4.16,IR,1720915223.0
105,tirmiz,37.2242,67.2783,77.09,50.0,1000.0,0.0,4.61,UZ,1720915225.0
106,hukumati azrah,34.1736,69.6457,54.21,72.0,1006.0,54.0,1.03,AF,1720915226.0
107,papatowai,-46.5619,169.4708,46.04,63.0,1027.0,0.0,6.04,NZ,1720915227.0
108,masindi,1.6744,31.715,66.34,77.0,1013.0,25.0,1.48,UG,1720915228.0
109,katabu,-4.9333,122.5167,76.6,79.0,1012.0,86.0,5.1,ID,1720915229.0
110,saint-pierre,-21.3393,55.4781,64.08,72.0,1024.0,0.0,8.05,RE,1720915230.0
111,pacific grove,36.6177,-121.9166,72.01,81.0,1014.0,20.0,14.97,US,1720915232.0
112,tsiombe,-25.3,45.4833,62.33,83.0,1022.0,0.0,0.67,MG,1720915233.0
113,kodiak,57.79,-152.4072,51.31,93.0,997.0,100.0,3.44,US,1720914975.0
114,tainan,22.9908,120.2133,87.87,61.0,1008.0,40.0,3.44,TW,1720915235.0
115,taoudenni,22.6783,-3.9836,100.74,6.0,1003.0,0.0,9.69,ML,1720915236.0
116,maputo,-25.9653,32.5892,60.48,82.0,1016.0,0.0,3.44,MZ,1720915238.0
117,lebu,-37.6167,-73.65,46.36,88.0,1023.0,38.0,6.55,CL,1720915239.0
118,melenki,55.3343,41.6295,64.81,81.0,1014.0,100.0,5.86,RU,1720915240.0
119,gummi,12.1436,5.1081,80.91,70.0,1012.0,96.0,8.41,NG,1720915241.0
120,mount gambier,-37.8333,140.7667,47.14,90.0,1019.0,32.0,2.75,AU,1720915242.0
121,sturgeon bay,44.8342,-87.377,78.78,60.0,1016.0,0.0,10.36,US,1720915113.0
122,baume-les-dames,47.353,6.3612,54.99,94.0,1015.0,3.0,2.55,FR,1720915245.0
123,mandalgovi,45.7625,106.2708,63.46,67.0,1008.0,100.0,12.48,MN,1720915246.0
124,anadyr,64.75,177.4833,66.7,52.0,1003.0,20.0,13.42,RU,1720915247.0
125,geraldton,-28.7667,114.6,48.61,87.0,1018.0,75.0,10.36,AU,1720915081.0
126,hailar,49.2,119.7,81.82,42.0,1007.0,93.0,15.08,CN,1720915249.0
127,cabo san lucas,22.8909,-109.9124,85.6,81.0,1013.0,15.0,7.0,MX,1720915129.0
128,egilsstadir,65.2653,-14.3948,51.71,76.0,1013.0,0.0,6.91,IS,1720915252.0
129,karratha,-20.7377,116.8463,69.55,56.0,1016.0,3.0,4.97,AU,1720915253.0
